tiempo,diag_group,iafas,tipo_consumo,TOTAL_NETO
2021-07-01,Leucemias,FISSAL,PROCEDIMIENTO,1154746.78
2021-07-01,Leucemias,SIS,INSUMO,2297.41
2021-07-01,Leucemias,SIS,MEDICAMENTO,305.16
2021-07-01,Leucemias,SIS,PROCEDIMIENTO,6087.0
2021-07-01,Linfomas,FISSAL,INSUMO,132936.75
2021-07-01,Linfomas,FISSAL,MEDICAMENTO,279108.22
2021-07-01,Linfomas,FISSAL,PROCEDIMIENTO,398037.01
2021-07-01,Linfomas,SIS,INSUMO,2186.15
2021-07-01,Linfomas,SIS,MEDICAMENTO,481.04
2021-07-01,Linfomas,SIS,PROCEDIMIENTO,3031.22
2021-07-01,Mama,FISSAL,INSUMO,170118.73
2021-07-01,Mama,FISSAL,MEDICAMENTO,466793.36
2021-07-01,Mama,FISSAL,PROCEDIMIENTO,535977.14
2021-07-01,Mama,SIS,INSUMO,1891.46
2021-07-01,Mama,SIS,MEDICAMENTO,1015.04
2021-07-01,Mama,SIS,PROCEDIMIENTO,8458.57
2021-07-01,No oncológico (comparador),FISSAL,INSUMO,8507.64
2021-07-01,No oncológico (comparador),FISSAL,MEDICAMENTO,22814.47
2021-07-01,No oncológico (comparador),FISSAL,PROCEDIMIENTO,47702.73
2021-07-01,No oncológico (comparador),SIS,INSUMO,163312.36000000002
2021-07-01,No oncológico (comparador),SIS,MEDICAMENTO,395413.29
2021-07-01,No oncológico (comparador),SIS,PROCEDIMIENTO,705160.02
2021-07-01,Otro,FISSAL,INSUMO,43316.21
2021-07-01,Otro,FISSAL,MEDICAMENTO,50521.549999999996
2021-07-01,Otro,FISSAL,PROCEDIMIENTO,84536.21
2021-07-01,Otro,SIS,INSUMO,1480364.1300000001
2021-07-01,Otro,SIS,MEDICAMENTO,2881971.909
2021-07-01,Otro,SIS,PROCEDIMIENTO,2815458.41
2021-07-01,Próstata,FISSAL,INSUMO,66276.33
2021-07-01,Próstata,FISSAL,MEDICAMENTO,75233.79
2021-07-01,Próstata,FISSAL,PROCEDIMIENTO,89835.28
2021-07-01,Próstata,SIS,INSUMO,1226.43
2021-07-01,Próstata,SIS,MEDICAMENTO,805.99
2021-07-01,Próstata,SIS,PROCEDIMIENTO,2311.7999999999997
2021-08-01,Colon,FISSAL,INSUMO,197989.12
2021-08-01,Colon,FISSAL,MEDICAMENTO,35458.66
2021-08-01,Colon,FISSAL,PROCEDIMIENTO,132853.8
2021-08-01,Colon,SIS,INSUMO,9174.14
2021-08-01,Colon,SIS,MEDICAMENTO,2223.9632
2021-08-01,Colon,SIS,PROCEDIMIENTO,7325.92
2021-08-01,Cuello uterino,FISSAL,INSUMO,183315.74
2021-08-01,Cuello uterino,FISSAL,MEDICAMENTO,187958.04
2021-08-01,Cuello uterino,FISSAL,PROCEDIMIENTO,273839.32
2021-08-01,Cuello uterino,SIS,INSUMO,16380.37
2021-08-01,Cuello uterino,SIS,MEDICAMENTO,3030.7462
2021-08-01,Cuello uterino,SIS,PROCEDIMIENTO,13034.58
2021-08-01,Estómago,FISSAL,INSUMO,217015.08
2021-08-01,Estómago,FISSAL,MEDICAMENTO,92717.484
2021-08-01,Estómago,FISSAL,PROCEDIMIENTO,175387.31
2021-08-01,Estómago,SIS,INSUMO,16806.3
2021-08-01,Estómago,SIS,MEDICAMENTO,5396.615
2021-08-01,Estómago,SIS,PROCEDIMIENTO,11135.56
2021-08-01,Leucemias,FISSAL,INSUMO,404440.09
2021-08-01,Leucemias,FISSAL,MEDICAMENTO,461074.99
2021-08-01,Leucemias,FISSAL,PROCEDIMIENTO,1151704.7
2021-08-01,Leucemias,SIS,INSUMO,2750.13
2021-08-01,Leucemias,SIS,MEDICAMENTO,439.95
2021-08-01,Leucemias,SIS,PROCEDIMIENTO,7188.22
2021-08-01,Linfomas,FISSAL,INSUMO,147512.94
2021-08-01,Linfomas,FISSAL,MEDICAMENTO,207264.71
2021-08-01,Linfomas,FISSAL,PROCEDIMIENTO,410484.34
2021-08-01,Linfomas,SIS,INSUMO,2535.8
2021-08-01,Linfomas,SIS,MEDICAMENTO,1234.9166
2021-08-01,Linfomas,SIS,PROCEDIMIENTO,5182.18
2021-08-01,Mama,FISSAL,INSUMO,230800.63999999998
2021-08-01,Mama,FISSAL,MEDICAMENTO,446114.48099999997
2021-08-01,Mama,FISSAL,PROCEDIMIENTO,553821.74
2021-08-01,Mama,SIS,INSUMO,1747.6
2021-08-01,Mama,SIS,MEDICAMENTO,1071.98
2021-08-01,Mama,SIS,PROCEDIMIENTO,4814.29
2021-08-01,No oncológico (comparador),FISSAL,INSUMO,14711.570000000002
2021-08-01,No oncológico (comparador),FISSAL,MEDICAMENTO,94578.78
2021-08-01,No oncológico (comparador),FISSAL,PROCEDIMIENTO,81738.63
2021-08-01,No oncológico (comparador),SIS,INSUMO,164275.23
2021-08-01,No oncológico (comparador),SIS,MEDICAMENTO,499164.8002
2021-08-01,No oncológico (comparador),SIS,PROCEDIMIENTO,943581.09
